                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6849,                 2.2077,                 1.1074,                0.50531,                0.18914,                0.18256,                0.10267,                 1.4848,                 1.3083,                 1.0585,                0.07009,              0.0033233,              0.0033233
                      1,                 1.5893,                 1.4154,                 1.0736,                0.30638,                 0.2373,                0.23178,                0.12733,                 1.4852,                 1.2254,                   1.06,               0.040024,              0.0065908,              0.0065908
                      2,                 1.6088,                 1.3464,                 1.0836,                 0.4562,                0.25845,                0.25837,                0.13817,                 1.5077,                 1.1643,                 1.0651,              0.0098923,              0.0097922,              0.0097922
                      3,                 1.6003,                 1.3139,                 1.0867,                0.45438,                 0.2993,                0.29134,                0.16449,                 1.4325,                 1.1182,                 1.0458,               0.009703,               0.009703,               0.009703
                      4,                 1.5243,                 1.2142,                 1.0619,                  0.499,                0.30832,                0.30089,                0.16614,                 1.4246,                 1.0944,                 1.0414,               0.009703,               0.009703,               0.009703
                      5,                 1.4857,                 1.1553,                 1.0515,                0.51285,                0.29881,                0.31748,                0.16782,                 1.3986,                 1.0436,                 1.0404,               0.009604,               0.009604,               0.009604
                      6,                 1.4604,                 1.1128,                 1.0394,                0.52443,                0.33371,                0.35788,                0.19497,                 1.3245,                 1.0315,                  1.022,               0.009505,               0.009505,               0.009505
                      7,                 1.4375,                  1.082,                 1.0325,                0.42472,                0.39654,                0.38701,                0.21169,                 1.3275,                0.96775,                 1.0174,               0.009406,               0.009406,               0.009406
                      8,                 1.4095,                 1.0476,                 1.0299,                0.48998,                0.38307,                0.38984,                0.22154,                 1.3063,                 0.9237,                 1.0088,               0.009307,               0.009307,               0.009307
                      9,                 1.3946,                  1.015,                 1.0207,                0.52536,                0.40138,                0.42021,                0.23386,                 1.2893,                0.89807,                 1.0044,               0.009208,               0.009208,               0.009208
                     10,                 1.3734,                0.99098,                 1.0138,                0.57289,                0.36069,                0.41944,                0.23865,                 1.2802,                0.88908,                 1.0025,               0.009109,               0.009109,               0.009109
                     11,                 1.3517,                0.97418,                  1.009,                0.56572,                0.40943,                0.44774,                0.24891,                 1.2594,                0.86211,                0.99383,                0.00901,                0.00901,                0.00901
                     12,                 1.3375,                0.94035,                 1.0043,                0.53492,                  0.432,                0.44212,                0.24673,                 1.2682,                0.86921,                0.99446,               0.008911,               0.008911,               0.008911
                     13,                 1.3191,                 0.9246,                 1.0011,                0.52129,                0.43903,                0.44619,                0.26044,                 1.2548,                0.85984,                0.99782,               0.008812,               0.008812,               0.008812
                     14,                 1.3157,                0.91353,                 0.9956,                0.60144,                0.43807,                0.45546,                0.25887,                 1.2664,                0.84248,                0.99742,               0.008713,               0.008713,               0.008713
                     15,                 1.3087,                0.90599,                0.99635,                0.55515,                 0.4309,                0.45697,                0.26453,                 1.2386,                0.83243,                0.98302,               0.008614,               0.008614,               0.008614
                     16,                 1.2951,                0.89094,                0.99249,                0.56073,                0.45692,                0.48091,                0.27148,                 1.2227,                0.80642,                0.98145,               0.008515,               0.008515,               0.008515
                     17,                 1.2839,                0.87853,                0.98814,                0.59153,                 0.4318,                0.47997,                0.27895,                 1.2005,                0.80594,                0.97503,               0.008416,               0.008416,               0.008416
                     18,                 1.2735,                0.86786,                0.98343,                0.58444,                0.44586,                0.48874,                0.28879,                 1.1946,                 0.7997,                0.97493,               0.008317,               0.008317,               0.008317
                     19,                 1.2631,                0.85649,                 0.9852,                0.67526,                0.41101,                0.50017,                0.28982,                 1.1813,                0.78149,                 0.9704,               0.008218,               0.008218,               0.008218
