                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4037,                 2.0709,                 1.2029,                0.50252,                 0.3897,                0.37257,                0.22642,                 1.2928,                 1.2575,                 1.1306,               0.070045,              0.0033283,              0.0033283
                      1,                 1.2956,                  1.353,                 1.1557,                0.51384,                0.48623,                0.47775,                0.28601,                 1.2706,                 1.1227,                 1.1333,               0.039913,              0.0065298,              0.0065298
                      2,                 1.2828,                  1.259,                  1.153,                0.53092,                0.53259,                0.52903,                0.32093,                 1.2313,                 1.0592,                 1.1262,              0.0096493,              0.0095992,              0.0095992
                      3,                 1.2713,                 1.1993,                 1.1533,                0.53211,                 0.5393,                0.52459,                0.32569,                 1.2458,                 1.0589,                  1.139,               0.009406,               0.009406,               0.009406
                      4,                  1.243,                 1.1165,                 1.1384,                0.62591,                0.57661,                0.60907,                0.38573,                 1.1908,                 0.9769,                 1.1077,               0.009406,               0.009406,               0.009406
                      5,                 1.2068,                 1.0488,                 1.1256,                0.60577,                0.62704,                0.64978,                0.40741,                 1.1677,                0.92844,                  1.094,               0.009208,               0.009208,               0.009208
                      6,                 1.1842,                0.99587,                 1.1133,                0.68688,                0.61618,                0.67034,                0.42059,                 1.1573,                0.89713,                    1.1,                0.00901,                0.00901,                0.00901
                      7,                 1.1604,                0.95379,                 1.1048,                0.64879,                0.63954,                0.67784,                0.44083,                 1.1268,                0.87285,                 1.0842,               0.008812,               0.008812,               0.008812
                      8,                 1.1435,                0.92602,                 1.0954,                0.70306,                0.62917,                0.69967,                0.45836,                 1.1248,                0.84591,                 1.0858,               0.008614,               0.008614,               0.008614
                      9,                 1.1263,                0.90036,                 1.0905,                 0.6914,                0.66293,                0.69619,                0.45639,                 1.0996,                0.83625,                 1.0764,               0.008416,               0.008416,               0.008416
                     10,                 1.1122,                0.87703,                 1.0825,                0.73681,                0.67472,                0.73498,                0.48291,                 1.0893,                0.81197,                 1.0572,               0.008218,               0.008218,               0.008218
                     11,                  1.093,                0.84738,                 1.0712,                0.74929,                0.69316,                0.73795,                0.49441,                 1.0777,                0.77921,                 1.0577,                0.00802,                0.00802,                0.00802
                     12,                 1.0798,                0.82675,                 1.0647,                0.75116,                0.71177,                0.75494,                 0.5037,                 1.0699,                0.78381,                 1.0524,               0.007822,               0.007822,               0.007822
                     13,                 1.0695,                0.81261,                 1.0606,                0.77752,                0.69648,                0.76367,                 0.5147,                 1.0539,                0.76739,                 1.0495,               0.007624,               0.007624,               0.007624
                     14,                 1.0625,                0.80535,                 1.0557,                0.73665,                0.71281,                0.76447,                 0.5126,                 1.0476,                0.74973,                 1.0412,               0.007426,               0.007426,               0.007426
                     15,                 1.0478,                0.78831,                 1.0534,                0.79831,                0.71667,                0.77412,                0.52274,                 1.0355,                0.74056,                 1.0408,               0.007228,               0.007228,               0.007228
                     16,                 1.0377,                0.77494,                 1.0465,                0.76942,                0.73394,                0.79043,                0.52369,                 1.0362,                0.72941,                 1.0369,                0.00703,                0.00703,                0.00703
                     17,                 1.0298,                0.76338,                 1.0388,                0.79381,                0.74082,                0.77873,                 0.5292,                 1.0278,                0.71715,                 1.0303,               0.006832,               0.006832,               0.006832
                     18,                 1.0163,                0.75203,                 1.0341,                0.75995,                 0.7441,                0.79214,                0.54089,                  1.024,                0.71812,                 1.0271,               0.006634,               0.006634,               0.006634
                     19,                 1.0058,                0.73628,                   1.03,                0.73148,                0.76031,                0.79679,                0.53854,                 1.0165,                0.70511,                 1.0267,               0.006436,               0.006436,               0.006436
                     20,                 1.0016,                0.73103,                 1.0269,                0.77825,                0.75635,                0.81196,                0.55513,                 1.0054,                0.69891,                 1.0163,               0.006238,               0.006238,               0.006238
