                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3895,                  1.276,                 1.0731,                0.44118,                0.40921,                0.41094,                0.24889,                  1.166,                0.78805,                0.99625,               0.070091,              0.0033232,              0.0033232
                      1,                 1.3478,                 0.9996,                 1.0294,                 0.5958,                 0.4522,                0.49035,                0.28726,                 1.1879,                0.81025,                0.99851,               0.040026,              0.0065906,              0.0065906
                      2,                 1.4312,                 1.0504,                 1.0595,                0.62961,                0.38014,                0.41459,                0.23479,                 1.3069,                0.90589,                 1.0458,              0.0098937,               0.009792,               0.009792
                      3,                 1.4966,                 1.0832,                 1.0933,                0.50608,                0.33978,                 0.3836,                0.21927,                  1.275,                0.90623,                  1.048,               0.009703,               0.009703,               0.009703
                      4,                 1.4647,                 1.0479,                 1.0888,                 0.5633,                0.37417,                0.42611,                0.23834,                 1.2818,                0.86052,                 1.0547,               0.009703,               0.009703,               0.009703
                      5,                 1.4376,                 1.0118,                 1.0766,                 0.5621,                0.40586,                0.44442,                0.26041,                 1.2211,                0.80407,                 1.0304,               0.009604,               0.009604,               0.009604
                      6,                 1.4076,                0.98429,                 1.0699,                0.54907,                 0.4137,                0.46305,                0.26595,                 1.2118,                 0.7984,                 1.0303,               0.009505,               0.009505,               0.009505
                      7,                  1.364,                0.94129,                 1.0545,                0.61406,                0.44567,                0.48815,                0.29144,                 1.1563,                0.74264,                 1.0174,               0.009406,               0.009406,               0.009406
                      8,                  1.344,                0.90625,                 1.0493,                0.60714,                0.47276,                0.51174,                0.30124,                 1.1706,                0.75026,                 1.0156,               0.009307,               0.009307,               0.009307
                      9,                 1.3119,                0.88655,                 1.0362,                0.62482,                0.48838,                0.51913,                0.31092,                 1.1369,                 0.7287,                 1.0041,               0.009208,               0.009208,               0.009208
                     10,                 1.3019,                 0.8685,                 1.0331,                 0.5957,                0.50389,                 0.5392,                0.32573,                  1.131,                0.70889,                 1.0012,               0.009109,               0.009109,               0.009109
                     11,                 1.2688,                0.84439,                 1.0251,                0.66542,                0.51991,                0.55696,                0.33295,                 1.1181,                0.70532,                  1.002,                0.00901,                0.00901,                0.00901
                     12,                  1.269,                0.83798,                 1.0224,                0.60913,                0.49695,                0.53869,                0.32737,                 1.1105,                0.68622,                0.99736,               0.008911,               0.008911,               0.008911
                     13,                 1.2426,                0.81615,                 1.0143,                0.65035,                0.51109,                0.56413,                0.34344,                  1.089,                0.66931,                0.99043,               0.008812,               0.008812,               0.008812
                     14,                 1.2352,                0.80887,                 1.0115,                0.67457,                 0.5151,                0.57955,                0.35709,                  1.059,                0.65504,                0.98332,               0.008713,               0.008713,               0.008713
                     15,                 1.2176,                0.79791,                 1.0119,                0.67503,                0.53412,                0.59583,                0.36668,                 1.0707,                0.64228,                0.98311,               0.008614,               0.008614,               0.008614
                     16,                 1.2056,                 0.7788,                 1.0028,                0.68834,                0.54261,                0.61279,                0.38255,                 1.0532,                0.63801,                0.97758,               0.008515,               0.008515,               0.008515
                     17,                 1.1952,                0.76873,                0.99887,                0.78263,                0.50992,                0.60105,                0.37873,                 1.0414,                 0.6296,                0.97534,               0.008416,               0.008416,               0.008416
                     18,                 1.1766,                0.75246,                0.99158,                0.66951,                0.56682,                0.61173,                0.38316,                 1.0353,                0.62035,                0.97659,               0.008317,               0.008317,               0.008317
                     19,                  1.168,                0.73747,                0.98743,                0.73104,                0.58012,                0.63178,                0.39815,                 1.0322,                0.61269,                0.96891,               0.008218,               0.008218,               0.008218
                     20,                 1.1667,                0.74001,                0.98421,                 0.6907,                 0.5793,                0.62488,                 0.3948,                 1.0311,                0.61529,                  0.965,               0.008119,               0.008119,               0.008119
                     21,                 1.1439,                0.72283,                0.97954,                0.70899,                0.58534,                0.62822,                0.39189,                 1.0204,                 0.5986,                0.97075,                0.00802,                0.00802,                0.00802
